縣市,死傷人數,緯度,經度
桃園縣龜山鄉萬壽路,3584,24.9972635,121.3431885
桃園縣桃園市中正路,3100,25.0087356,121.3022995
桃園縣桃園市中山路,3100,24.9909775,121.2917291
桃園縣桃園市三民路,3082,24.9946376,121.3245045
桃園市桃園區中山路,2869,24.9909775,121.2917291
桃園市桃園區三民路,2836,24.9946376,121.3245045
桃園市龜山區萬壽路,2806,24.9972635,121.3431885
桃園市桃園區中正路,2593,25.0087356,121.3022995
桃園縣中壢市中華路,2372,24.9647876,121.2375816
桃園縣桃園市春日路,2350,25.0105984,121.3105988
桃園市八德區介壽路,2159,24.9814733,121.3070309
桃園市中壢區中華路,2153,24.9647876,121.2375816
桃園市平鎮區金陵路,2007,24.9284197,121.2274443
桃園市平鎮區延平路,1961,24.9600909,121.2253792
桃園縣八德市介壽路,1824,24.9814733,121.3070309
桃園市中壢區中山東路,1796,24.9967108,121.3171874
桃園市桃園區春日路,1794,25.0105984,121.3105988
桃園縣中壢市中山東路,1762,24.9505439,121.2414901
桃園縣平鎮市延平路,1744,24.9600909,121.2253792
桃園縣中壢市環中東路,1738,24.9586806,121.2504364
桃園市中壢區環中東路,1666,24.9586806,121.2504364
桃園市桃園區永安路,1646,25.0060517,121.2942576
桃園縣桃園市永安路,1640,25.0060517,121.2942576
桃園縣平鎮市金陵路,1584,24.9284197,121.2274443
桃園縣中壢市中正路,1552,24.9605904,121.2093745
桃園縣桃園市國際路,1516,24.9604691,121.2931593
桃園市八德區中華路,1509,24.9821713,121.276654
桃園市平鎮區中豐路,1492,24.8820676,121.2118875
桃園縣桃園市大興西路,1476,25.0097658,121.2957252
桃園縣平鎮市中豐路,1446,24.8820676,121.2118875
桃園市中壢區中正路,1418,24.9605904,121.2093745
桃園縣大園鄉中正東路,1404,25.0595323,121.2103781
桃園縣八德市中華路,1388,24.9821713,121.276654
桃園市大園區中正東路,1363,25.0595323,121.2103781
桃園市桃園區復興路,1349,24.9895997,121.3101542
桃園縣蘆竹鄉南崁路,1348,25.0473991,121.2939187
桃園市中壢區新中北路,1306,24.9571217,121.2472084
桃園市八德區興豐路,1300,24.9375599,121.3070049
桃園市桃園區國際路,1300,24.9760614,121.289143
桃園縣桃園市復興路,1282,24.9895997,121.3101542
桃園市八德區廣福路,1280,24.9605046,121.28289
桃園縣中壢市龍岡路,1258,24.9323476,121.2376222
桃園市桃園區桃鶯路,1248,24.9784146,121.3219305
桃園縣龍潭鄉中興路,1242,24.8734402,121.2320212
桃園縣八德市興豐路,1222,24.9375599,121.3070049
桃園縣八德市和平路,1178,24.9579402,121.3098752
桃園市八德區建國路,1140,24.945847,121.2887453
桃園縣八德市廣福路,1128,24.9605046,121.28289
桃園市中壢區龍岡路,1118,24.9323476,121.2376222
桃園縣桃園市桃鶯路,1112,24.9784146,121.3219305
桃園縣蘆竹鄉南竹路,1092,25.0476055,121.2929498
桃園縣龜山鄉忠義路,1076,25.0493557,121.3590622
桃園市蘆竹區南崁路,1070,25.0473991,121.2939187
桃園市八德區和平路,1051,24.9579402,121.3098752
桃園市平鎮區中豐路南勢,1009,24.9138601,121.2104808
桃園縣中壢市新中北路,1004,24.9571217,121.2472084
桃園縣龍潭鄉中豐路,1002,24.8802723,121.2118262
桃園市龍潭區中興路,983,24.8734402,121.2320212
桃園市中壢區中園路,973,24.9753889,121.2362278
桃園縣中壢市中園路,970,24.9753889,121.2362278
桃園縣桃園市民生路,954,24.9999978,121.3105261
桃園市平鎮區環南路,947,24.9514179,121.2067189
桃園縣八德市建國路,940,24.945847,121.2887453
桃園縣大園鄉三民路,928,25.0779786,121.2585745
桃園市桃園區民生路,923,24.9999978,121.3105261
桃園市中壢區新生路,903,24.9666062,121.2235072
桃園市中壢區延平路,900,24.9599966,121.2252974
桃園市平鎮區平東路,898,24.9139649,121.2461035
桃園縣桃園市介壽路,896,24.9814733,121.3070309
桃園市桃園區成功路,888,24.9926454,121.3121798
桃園縣八德市介壽路二段,874,24.9406366,121.2975428
桃園市桃園區介壽路,874,24.9814733,121.3070309
桃園縣平鎮市環南路,868,24.9514179,121.2067189
桃園市大園區三民路,867,25.0779786,121.2585745
桃園縣楊梅市中山北路,860,24.9086517,121.1578933
桃園縣桃園市成功路,856,24.9926454,121.3121798
桃園縣龍潭鄉中正路,846,24.8615517,121.2177988
桃園縣中壢市延平路,842,24.9599966,121.2252974
桃園市蘆竹區南竹路,811,25.0476055,121.2929498
桃園縣八德市長興路,798,24.9304575,121.2834603
桃園市大園區大觀路,793,25.0622518,121.1761312
桃園市八德區長興路,790,24.9325575,121.2722741
桃園縣中壢市新生路,776,24.9666062,121.2235072
桃園縣大園鄉大觀路,772,25.0622518,121.1761312
桃園縣八德市永豐路,758,24.9695402,121.2760757
桃園縣桃園市大業路,754,25.0089689,121.3149008
桃園市楊梅區中山北路,753,24.9103738,121.1732477
桃園市八德區永豐路,749,24.9695402,121.2760757
桃園縣桃園市經國路,748,25.0213817,121.3035001
桃園市中壢區中北路,746,24.9563624,121.2378567
桃園市大溪區員林路,741,24.8957279,121.2776546
桃園縣平鎮市中豐路南勢,736,24.9138601,121.2104808
桃園市龜山區忠義路,736,25.0493557,121.3590622
桃園市龍潭區中豐路,736,24.8802723,121.2118262
桃園縣八德市介壽路一段,732,24.9675851,121.3011289
桃園市桃園區大興西路,727,25.0097658,121.2957252
桃園市八德區介壽路二段,724,24.9406366,121.2975428
桃園市蘆竹區南山路,716,25.0545267,121.2908686
桃園市龍潭區中正路,713,24.8615517,121.2177988
桃園縣大溪鎮員林路,704,24.8957279,121.2776546
桃園縣龜山鄉文化一路,702,25.051825,121.3793419
桃園市桃園區經國路,680,25.0213817,121.3035001
桃園縣蘆竹鄉南山路,678,25.0545267,121.2908686
桃園市中壢區中山路,677,24.9566214,121.2204107
桃園縣大溪鎮介壽路,674,24.9078731,121.2866606
桃園市桃園區大有路,674,25.0130871,121.3183572
桃園市中壢區民族路,671,24.9561151,121.2114821
桃園縣中壢市民族路,668,24.9561151,121.2114821
桃園市桃園區大業路,639,25.0089689,121.3149008
桃園縣楊梅市楊湖路,626,24.9126194,121.1309421
桃園市中壢區龍東路,622,24.933014,121.2557361
桃園縣中壢市龍東路,620,24.933014,121.2557361
桃園縣蘆竹鄉大竹路,618,25.0210266,121.2639796
桃園縣桃園市文中路,614,24.9953323,121.2847333
桃園縣中壢市中山路,614,24.9566214,121.2204107
桃園市桃園區南平路,610,25.0186192,121.2995145
桃園縣龜山鄉文化二路,606,25.0548115,121.36911
桃園市桃園區萬壽路,606,24.9929151,121.3275572
桃園市龜山區文化一路,601,25.051825,121.3793419
桃園縣桃園市萬壽路,600,24.9929151,121.3275572
桃園縣龜山鄉大同路,600,24.9889027,121.3599609
桃園市中壢區元化路,596,24.9572354,121.2275361
桃園縣中壢市中北路,594,24.9563624,121.2378567
桃園市平鎮區中豐路山頂段,593,24.8979393,121.2110284
桃園市八德區介壽路一段,581,24.9675851,121.3011289
桃園市桃園區慈文路,578,25.0055917,121.3004165
桃園市大溪區介壽路,578,24.9078731,121.2866606
桃園縣蘆竹鄉中正路,574,25.0456804,121.2929661
桃園縣龜山鄉山鶯路,558,24.985915,121.327304
桃園縣桃園市大有路,556,25.0130871,121.3183572
桃園市蘆竹區大竹路,555,25.0210266,121.2639796
桃園縣桃園市南平路,548,25.0186192,121.2995145
桃園縣龜山鄉長壽路,548,24.9994173,121.3392092
桃園縣中壢市中央西路,544,24.9578858,121.2212512
桃園市平鎮區南平路,537,24.9193498,121.2082379
桃園縣桃園市大同路,536,24.9889158,121.3103206
桃園市桃園區大同路,536,24.9889158,121.3103206
桃園市八德區新興路,532,24.9424923,121.2778419
桃園市桃園區文中路,530,24.9953323,121.2847333
桃園縣八德市東勇街,524,24.9638265,121.3070048
桃園市八德區東勇街,523,24.9651248,121.308269
桃園縣楊梅市楊新路,522,24.9132517,121.1457309
桃園縣楊梅市新農街,520,24.9111046,121.1560731
桃園市平鎮區復旦路,519,24.9473903,121.2082354
桃園縣平鎮市平東路,510,24.9139649,121.2461035
桃園市楊梅區楊湖路,510,24.9126194,121.1309421
桃園縣龜山鄉振興路,506,25.0224126,121.3644892
桃園市中壢區中央西路,502,24.9578858,121.2212512
桃園縣中壢市元化路,500,24.9572354,121.2275361
桃園市平鎮區民族路,497,24.9561151,121.2114821
桃園縣平鎮市民族路,486,24.9561151,121.2114821
桃園市龜山區文化二路,484,25.0548115,121.36911
桃園縣龍潭鄉大昌路,482,24.8710432,121.2174234
桃園縣桃園市莊敬路,480,24.9667438,121.2572952
桃園市龍潭區大昌路,479,24.8710432,121.2174234
桃園縣龜山鄉中興路,476,24.9901265,121.333212
桃園市大溪區仁和路,472,24.9006104,121.2761147
桃園縣桃園市慈文路,466,25.0055917,121.3004165
桃園縣八德市新興路,464,24.9424923,121.2778419
桃園市平鎮區龍南路,457,24.9206093,121.2525928
桃園縣平鎮市龍南路,442,24.9206093,121.2525928
桃園縣平鎮市南平路,438,24.9193498,121.2082379
桃園縣中壢市環北路,438,24.9660232,121.2234362
桃園市龜山區山鶯路,438,24.985915,121.327304
桃園市桃園區建新街,432,24.9794784,121.3107984
桃園縣桃園市建新街,426,24.9794784,121.3107984
桃園縣平鎮市中豐路山頂段,426,24.8979393,121.2110284
桃園市桃園區富國路,426,25.0180155,121.2840978
桃園縣龜山鄉自強南路,424,24.9915055,121.3375773
桃園縣龜山鄉民生北路,424,25.0373453,121.301358
桃園縣新屋鄉中華路,422,24.9829766,121.1070173
桃園縣大溪鎮仁和路,422,24.9006104,121.2761147
桃園市大園區中山南路,420,25.0583724,121.2032695
桃園市中壢區環北路,419,24.9660232,121.2234362
桃園市平鎮區新光路,418,24.937236,121.2051393
桃園縣龍潭鄉中豐路上林段,416,24.852064,121.2046032
桃園市龜山區大同路,412,24.9889027,121.3599609
桃園市龜山區長壽路,409,24.9994173,121.3392092
桃園市楊梅區新農街,406,24.9111046,121.1560731
桃園市楊梅區永美路,405,24.9182437,121.1830633
桃園縣新屋鄉中山西路,400,24.9756295,121.0873301
桃園縣桃園市建國路,400,24.9852604,121.3106132
桃園縣龍潭鄉中原路,400,24.8517981,121.2009513
桃園市楊梅區楊新路,399,24.9132517,121.1457309
桃園縣桃園市同安街,398,25.0197234,121.300722
桃園縣龜山鄉文化三路,398,25.0567015,121.3646079
桃園市大溪區康莊路,398,24.8778588,121.2877779
桃園縣中壢市中美路,390,24.9585208,121.226181
桃園縣大園鄉國際路,390,25.0724135,121.1986409
桃園縣楊梅市永美路,390,24.9182437,121.1830633
桃園市蘆竹區中正路,390,25.0456804,121.2929661
桃園縣平鎮市復旦路,388,24.9473903,121.2082354
桃園縣桃園市民族路,388,24.9926339,121.3089113
桃園市大溪區復興路,386,24.8785994,121.2920818
桃園市桃園區龍壽街,386,24.9839067,121.268138
桃園縣大園鄉中山南路,374,25.0583724,121.2032695
桃園縣桃園市龍壽街,372,24.9839067,121.268138
桃園市桃園區莊敬路,371,25.0252962,121.3000428
桃園縣桃園市龍安街,370,24.9902776,121.2798158
桃園市中壢區民權路,369,24.959725,121.2174661
桃園縣桃園市富國路,364,25.0180155,121.2840978
桃園縣蘆竹鄉文中路一段,364,24.991191,121.2664216
桃園市龜山區中興路,363,24.9901265,121.333212
桃園縣龍潭鄉北龍路,362,24.8669713,121.215604
桃園市中壢區環西路,362,24.9589796,121.2070754
桃園市龍潭區聖亭路,362,24.8680176,121.2064255
桃園市中壢區南園二路,361,24.971643,121.2317982
桃園市龜山區振興路,361,25.0224126,121.3644892
桃園市桃園區建國路,360,24.9852604,121.3106132
桃園縣蘆竹鄉長興路,358,25.0624296,121.2925
桃園市桃園區龍安街,358,24.9902776,121.2798158
桃園縣桃園市大興路,356,25.0160563,121.3137631
桃園縣龜山鄉復興一路,350,25.0574332,121.3646408
桃園市龜山區自強南路,349,24.9915055,121.3375773
桃園縣大溪鎮康莊路,348,24.8778588,121.2877779
桃園市八德區廣興路,347,24.9455993,121.2836782
桃園縣龍潭鄉中豐路高平段,344,24.8320274,121.2062832
桃園市桃園區同安街,342,25.0197234,121.300722
桃園市楊梅區幼獅路,334,24.9228065,121.1855473
桃園市中壢區興仁路,334,24.9620468,121.2641985
桃園縣中壢市榮民路,332,24.9639392,121.2615459
桃園縣楊梅市幼獅路,326,24.9228065,121.1855473
桃園市平鎮區南東路,326,24.9192768,121.2195131
桃園市龍潭區中豐路上林段,326,24.852064,121.2046032
桃園市龜山區民生北路,325,25.0373453,121.301358
桃園縣龍潭鄉聖亭路,324,24.8680176,121.2064255
桃園市八德區茄苳路,320,24.9754798,121.2791717
桃園市龍潭區中原路,320,24.8379063,121.1950012
桃園市中壢區中美路,313,24.9585208,121.226181
桃園縣龜山鄉東萬壽路,312,25.0094416,121.3762347
桃園縣大溪鎮復興路,312,24.8785994,121.2920818
桃園縣楊梅市民富路,310,24.920978,121.1277365
桃園市蘆竹區海山路,310,25.0888481,121.2777167
桃園縣中壢市民權路,308,24.959725,121.2174661
桃園縣中壢市榮民南路,308,24.9468319,121.2568492
桃園市桃園區延平路,308,24.9810139,121.3147003
桃園市大園區和平西路,307,25.0578765,121.1976055
桃園市平鎮區南豐路,307,24.8997326,121.2047105
桃園縣中壢市南園二路,306,24.971643,121.2317982
桃園市中壢區榮民路,305,24.9639392,121.2615459
桃園市龍潭區北龍路,305,24.8669713,121.215604
桃園縣平鎮市德育路,304,24.9401347,121.2187517
桃園市中壢區榮民南路,304,24.9468319,121.2568492
桃園市桃園區民族路,303,24.9926339,121.3089113
桃園市龍潭區中豐路高平段,302,24.8320274,121.2062832
桃園市桃園區力行路,302,24.9992555,121.2977484
桃園市八德區福國北街,300,24.9615149,121.2954137
桃園縣桃園市中正三街,296,25.0001138,121.3016954
桃園縣楊梅市文化街,296,24.910284,121.1826799
桃園市大園區國際路,295,25.0724135,121.1986409
桃園縣蘆竹鄉大新路,294,25.0238601,121.247087
桃園市平鎮區民族路雙連,294,24.9590804,121.1829271
桃園縣桃園市寶慶路,292,25.0152474,121.2916976
桃園市中壢區文化路,292,24.9758205,121.2527259
桃園市桃園區大興路,291,25.0160563,121.3137631
桃園縣八德市廣興路,290,24.9455993,121.2836782
桃園縣觀音鄉中山路,290,25.0343835,121.0886207
桃園市中壢區中豐北路,289,24.9608415,121.2197773
桃園市大溪區埔頂路,289,24.9022109,121.2743965
桃園市八德區中山路,289,24.9830328,121.2778476
桃園市桃園區大興西路二段,289,25.0097658,121.2957252
桃園縣桃園市延平路,286,24.9810139,121.3147003
桃園市新屋區中山西路,286,24.9756295,121.0873301
桃園縣新屋鄉中山東路,284,24.9716251,121.1218146
桃園縣蘆竹鄉仁愛路,282,25.0510962,121.2948955
桃園縣中壢市環西路,280,24.9589796,121.2070754
桃園縣平鎮市育達路,280,24.9518239,121.2102734
桃園市中壢區忠孝路,280,24.978342,121.2544885
桃園縣中壢市西園路,278,24.9787602,121.2345646
桃園縣中壢市興仁路,278,24.9620468,121.2641985
桃園市中壢區中豐路,277,24.9608415,121.2197773
桃園縣楊梅市中山南路,276,24.9023333,121.1248399
桃園縣平鎮市民族路雙連,274,24.9590804,121.1829271
桃園市平鎮區育達路,273,24.9518239,121.2102734
桃園市蘆竹區長興路,271,25.0624296,121.2925
桃園縣平鎮市陸橋南路,270,24.9259948,121.1908972
桃園縣桃園市玉山街,270,24.9832233,121.2983452
桃園縣平鎮市新光路,270,24.937236,121.2051393
桃園市桃園區寶慶路,269,25.0152474,121.2916976
桃園市龍潭區東龍路,269,24.8635949,121.2146829
桃園市觀音區中山路,268,25.0343835,121.0886207
桃園縣平鎮市南豐路,266,24.8997326,121.2047105
桃園縣中壢市普忠路,266,24.9576244,121.2491327
桃園市蘆竹區仁愛路,265,25.0554407,121.310085
桃園市新屋區中華路,265,24.9829766,121.1070173
桃園市八德區桃德路,264,24.9701606,121.2958506
桃園縣龍潭鄉東龍路,262,24.8635949,121.2146829
桃園市龜山區文化三路,262,25.0567015,121.3646079
桃園市平鎮區德育路,259,24.9401347,121.2187517
桃園市中壢區吉林路,259,24.9792119,121.244398
