項次,清運序,行政區,清運路線名稱,清運點名稱,一般垃圾清運時間,廚餘回收清運時間,資源回收清運時間
1,1,蘆竹區,山腳區1線,山林路一段與山腳街口,星期一二四五六:16:55,星期一二四五六:16:55,星期一二四五六:16:55
2,2,蘆竹區,山腳區1線,山林路一段與武聖街口,星期一二四五六:17:00,星期一二四五六:17:00,星期一二四五六:17:00
3,3,蘆竹區,山腳區1線,泉州路與武聖街口,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
4,4,蘆竹區,山腳區1線,山林路一段富貴新城社區,星期一二四五六:17:10,星期一二四五六:17:10,星期一二四五六:17:10
5,5,蘆竹區,山腳區1線,山林路一段家畜市場,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
6,6,蘆竹區,山腳區1線,外社街（外社橋）,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
7,7,蘆竹區,山腳區1線,頂社國小,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
8,8,蘆竹區,山腳區1線,坑子里6鄰,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
9,9,蘆竹區,山腳區1線,觀音寺,星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
10,10,蘆竹區,山腳區1線,孔明路臥龍岡下(山林路與孔明路口),星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
11,11,蘆竹區,山腳區1線,八德二路130號,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
12,12,蘆竹區,山腳區1線,坑子社區活動中心,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
13,13,蘆竹區,山腳區1線,外社里草仔崎,星期一二四五六:18:20,星期一二四五六:18:20,星期一二四五六:18:20
14,14,蘆竹區,山腳區1線,外社里後壁坑,星期一二四五六:18:25,星期一二四五六:18:25,星期一二四五六:18:25
15,15,蘆竹區,山腳區1線,十八公墓及外社里7、8鄰,星期一二四五六:18:30,星期一二四五六:18:30,星期一二四五六:18:30
16,16,蘆竹區,山腳區1線,順利一、二街,星期一二四五六:18:35,星期一二四五六:18:35,星期一二四五六:18:35
17,17,蘆竹區,山腳區1線,山林路一段與南山北路口,星期一二四五六:18:40,星期一二四五六:18:40,星期一二四五六:18:40
18,18,蘆竹區,山腳區1線,南山北路二段鄭厝沿路收運,星期一二四五六:19:20,星期一二四五六:19:20,星期一二四五六:19:20
19,19,蘆竹區,山腳區1線,海湖北路277號,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
20,20,蘆竹區,山腳區1線,海山中街口與金海街口,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
21,21,蘆竹區,山腳區1線,坑口里1-3鄰,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
22,22,蘆竹區,山腳區1線,"坑口里4,6鄰",星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
23,23,蘆竹區,山腳區1線,南山北路二段251巷,星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
24,24,蘆竹區,山腳區1線,南山北路一段161巷至141巷、133巷,星期一二四五六:19:55,星期一二四五六:19:55,星期一二四五六:19:55
25,25,蘆竹區,山腳區1線,南山北路一段與南山路三段口,星期一二四五六:20:00,星期一二四五六:20:00,星期一二四五六:20:00
26,1,蘆竹區,山腳區2線,海山路(蘆竹區農會山腳辦事處),星期一二四五六:17:10,星期一二四五六:17:10,星期一二四五六:17:10
27,2,蘆竹區,山腳區2線,海山路(仁愛社區),星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
28,3,蘆竹區,山腳區2線,海山路(山腳國中),星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
29,4,蘆竹區,山腳區2線,油管路或坑子里11鄰(2天1次),星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
30,5,蘆竹區,山腳區2線,坑果路,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
31,6,蘆竹區,山腳區2線,永佳加油站,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
32,7,蘆竹區,山腳區2線,台電變電所,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
33,8,蘆竹區,山腳區2線,海山路一段與海湖東路口(海湖新社會社區),星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
34,9,蘆竹區,山腳區2線,海湖東路油管路口(2天1次),星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
35,10,蘆竹區,山腳區2線,海山新城,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
36,11,蘆竹區,山腳區2線,南山北路與海湖東路口,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
37,12,蘆竹區,山腳區2線,海湖國小,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
38,13,蘆竹區,山腳區2線,海湖二鄰,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
39,14,蘆竹區,山腳區2線,海湖里15鄰(劉宅),星期一二四五六:18:55,星期一二四五六:18:55,星期一二四五六:18:55
40,15,蘆竹區,山腳區2線,海湖里10.11.12鄰(大樓),星期一二四五六:18:57,星期一二四五六:18:57,星期一二四五六:18:57
41,16,蘆竹區,山腳區2線,海湖里、海山路2段(土地公廟)、富貴大鎮,星期一二四五六:19:00,星期一二四五六:19:00,星期一二四五六:19:00
42,17,蘆竹區,山腳區2線,海山路與濱海公路口(7-11),星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
43,18,蘆竹區,山腳區2線,濱海路一段254巷口,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
44,19,蘆竹區,山腳區2線,濱海路300巷,星期一二四五六:19:18,星期一二四五六:19:18,星期一二四五六:19:18
45,20,蘆竹區,山腳區2線,智海街,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
46,21,蘆竹區,山腳區2線,海港路下海湖海釣場及周邊,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
47,22,蘆竹區,山腳區2線,海山西路(鵝牌公司),星期一二四五六:19:35,星期一二四五六:19:35,星期一二四五六:19:35
48,23,蘆竹區,山腳區2線,海寧巷4、5、6、7巷附近,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
49,24,蘆竹區,山腳區2線,海寧巷7號,星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
50,25,蘆竹區,山腳區2線,海山路一段65號(閎基A11),星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
51,1,蘆竹區,大竹區3線,大竹路往大華巷子,星期一二四五六:16:50,星期一二四五六:16:50,星期一二四五六:16:50
52,2,蘆竹區,大竹區3線,大竹路往新興巷子,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
53,3,蘆竹區,大竹區3線,大竹路115號橋頭,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
54,4,蘆竹區,大竹區3線,大竹路1巷30號,星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
55,5,蘆竹區,大竹區3線,新興里活動中心,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
56,6,蘆竹區,大竹區3線,文新街346巷119號,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
57,7,蘆竹區,大竹區3線,文新街376巷內,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
58,8,蘆竹區,大竹區3線,新興街379巷25弄,星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
59,9,蘆竹區,大竹區3線,新興街430巷,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
60,10,蘆竹區,大竹區3線,桃園慈天宮,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
