縣市,緯度,經度
桃園區東門里7鄰朝陽街12號,24.9963264,121.3135693
桃園區青溪里鎮撫街43號,24.9982556,121.3146109
桃園區民生路231號,24.9960106,121.3122737
桃園區慈文路410號,25.003783,121.29821
桃園區福安里22鄰保羅街58號,24.9824374,121.3095325
桃園區中正路208號,24.9946798,121.3110164
桃園區青溪里16鄰朝陽街230號（郵寄地址：桃園市桃園區永安路1369巷31號）,25.0030027,121.3122176
桃園區復興路275號,24.9888201,121.3066967
桃園區鎮撫街24巷9號,24.9976566,121.3136235
桃園區福元街246號,25.0095587,121.3155676
桃園區鴻撫街6號,24.973716,121.264954
桃園區民生路167號,24.994372,121.312826
桃園區朝陽街36巷15號,24.9970531,121.3133035
桃園區三元街407巷50號,25.0105992,121.3226196
桃園區南門里14鄰文山街33號,24.9876621,121.3044827
桃園區玉山里22鄰大同西路122號,24.9890996,121.3011911
桃園區西湖里1鄰中山路220號,24.993088,121.3076084
桃園區中興里12鄰保定六街16號,24.9994519,121.2998264
桃園區長德里中正5街212號,25.0043056,121.3010686
桃園區中德里15鄰國際路1段401巷123號,24.9703089,121.2900775
桃園區中聖里9鄰吉昌街232號,24.9885281,121.2876237
桃園區保羅街58號,24.9824374,121.3095325
桃園區中埔里永安北路13巷11號,25.0082349,121.291131
桃園區桃鶯路87巷52號,24.9876429,121.319447
桃園區中山路2號,24.9954887,121.3129767
桃園區永佳街126號,25.0060229,121.2814941
桃園區大有路946巷203號,25.0256401,121.3180082
桃園區國際路1段700巷13號,24.978755,121.288753
桃園區大有路946巷205號,25.025559,121.317613
桃園區泰山里6鄰泰成路62巷67-3號,24.9886884,121.297358
桃園區忠義里三元街566號,25.0135665,121.3247002
桃園區大林里13鄰桃鶯路338巷37號,24.9776875,121.3211843
桃園區長安里2鄰民光路168號,25.003983,121.304737
桃園區三元街526號,25.0135665,121.3247002
桃園區龍岡里上海路226號之1,24.9932541,121.2819246
桃園區新埔里南通路10號,25.0204877,121.3072943
桃園區光興里21鄰中山北路65號,24.9938515,121.3031888
桃園區西埔里5鄰富國路717巷12-3號,25.0220612,121.2788904
桃園區三民路3段478號,24.984067,121.307363
桃園區正光路112巷102號,24.9954283,121.2952493
桃園區文中三路21號,24.9965478,121.2886132
中壢區新街里延平路198號,24.9623401,121.2279406
中壢區內厝里9鄰中正路4段26巷36號,24.9888563,121.1813972
中壢區興南里12鄰慈惠二街9號,24.960655,121.2232689
中壢區新興里7鄰自忠二街126號,24.9450013,121.2233403
中壢區福德里13鄰光華二街1號,24.9781181,121.2584485
中壢區舊明里10鄰義民路47號,24.954108,121.217092
中壢區中央里21鄰元化路205號,24.9606471,121.2274579
中壢區內定里5鄰合圳北路2段470號,25.006052,121.247216
中壢區聖德路1段888巷11號,25.0021028,121.1948126
中壢區東興里25鄰東興街117號,24.9528719,121.22696
中壢區永福里7鄰西園路97號,24.979616,121.2346809
中壢區青埔里7鄰青松街70號,25.0038476,121.2195554
中壢區中央里11鄰長江路93號,24.9573899,121.228127
中壢區華勛里8鄰華勛街208巷38弄27號,24.948822,121.25932
中壢區新中一街29號,24.9599873,121.2435466
中壢區興南里12鄰慈惠二街43號,24.960655,121.2232689
中壢區福德里11鄰福德路38號,24.9741145,121.2587009
中壢區內壢里2鄰成功路122巷82號,24.9760901,121.2623815
中壢區忠福里14鄰南園2路98號,24.9719001,121.231047
中壢區普義里7鄰,24.9603605,121.2304424
中壢區青埔里3鄰青溪路二段35號,25.0154975,121.2225862
中壢區永福里7鄰西園路97號,24.979616,121.2346809
中壢區忠福里16鄰中福路622號,24.9757995,121.2309226
中壢區文化里1鄰吉林路125號,24.9836282,121.2503904
中壢區中原里9鄰文化路61號,24.9729788,121.2544188
中壢區龍興里龍岡路3段37巷92弄102-1號,24.939607,121.23541
中壢區新興里天祥三街6-1號,24.945772,121.222782
中壢區華勛里8鄰華勛街208巷38弄26號,24.9490097,121.2593952
中壢區五權里2鄰五興路259號,24.9631025,121.1948204
中壢區文化里24鄰忠孝路401之1號,24.982004,121.253491
中壢區過嶺里4鄰福田路99號,24.9723073,121.172179
中壢區月眉里9鄰月眉五路120號,24.990124,121.180042
中壢區東興里龍明街39號,24.9486824,121.2237787
中壢區龍岡路3段582號,24.9290231,121.2409161
中壢區水尾里新生路522-1號,24.968675,121.223912
中壢區興和里003鄰興南路187之11號,24.9744948,121.2212755
中壢區內厝里中正路四段15之5號,24.988061,121.179304
中壢區仁美里榮民南路350巷56號,24.9487504,121.2552494
中壢區普仁里協同街79號,24.9548402,121.2381748
平鎮區建安里17鄰平東路1段98-1號,24.9113645,121.2350425
平鎮區湧光里27鄰湧光路136巷159號,24.8939879,121.2061289
平鎮區義民里14鄰復旦路2段23巷8號,24.9478162,121.2057277
平鎮區福林里9鄰6號,24.9025981,121.2192841
平鎮區平鎮里2鄰南平路2段26號,24.9213222,121.2034746
平鎮區北貴里1鄰正義路126號,24.930169,121.2241914
平鎮區金陵路4段26巷82-1號,24.9211137,121.2265845
平鎮區雙連里2鄰雙福路2段2號  ,24.9657346,121.1851929
平鎮區新榮里16鄰振興西路112號之1,24.9457435,121.214528
平鎮區金陵路四段26巷78號,24.9212511,121.2269483
平鎮區福林里8鄰三興路310巷36號,24.9073351,121.2222201
平鎮區湧光里八鄰湧光路106號,24.8967497,121.2097913
平鎮區鎮興里6鄰陸橋南路159巷41號,24.9216612,121.1883651
平鎮區東社里11鄰圳南路18巷2-1號,24.923017,121.244423
平鎮區龍恩里營德路521號,24.9237426,121.2377368
平鎮區鎮興里2鄰鎮德路152號,24.9191657,121.1912396
八德區大興里17鄰指玄街66號,24.955065,121.3094119
八德區竹圍里2鄰長興路756號,24.933363,121.264496
八德區興仁里3鄰中山路2號,24.9302251,121.2846024
八德區白鷺里14鄰東泰街2號,24.9638719,121.278529
八德區大仁里4鄰仁和街211巷1弄18號,24.9697944,121.320014
八德區大義里18鄰義勇街8號,24.9639523,121.3010647
八德區高城里高城8街46巷12-1號,24.97866,121.2747422
八德區廣興里11鄰廣福路669-17號,24.9604064,121.2827613
八德區大成里28鄰建國路1087巷30號,24.9575598,121.295908
八德區大強里東勇街490巷72號,24.9679137,121.3121841
八德區茄苳路865號,24.9670346,121.2799178
八德區榮興南路92-1號,24.948441,121.305832
八德區廣興里4鄰新興路342巷120號之1,24.9487973,121.2800345
八德區大竹里12鄰興豐路1725號,24.9311116,121.2843607
大溪區信義路1125號,24.8946868,121.324293
大溪區仁愛里5鄰埔頂街19號,24.9014499,121.2756488
大溪區復興里復興路2段287巷15號,24.8254965,121.3107915
大溪區員林里4鄰員林路2段282巷17號,24.8857299,121.2688
大溪區南興里11鄰仁和路二段190巷27號,24.9045,121.26486
大溪區新峰里復興路2段758巷45號,24.830829,121.3305933
大溪區瑞興里8鄰大鶯路870巷5號,24.9188783,121.301891
大溪區福山一路3號,24.8308908,121.2629359
大溪區福仁里普濟路124號,24.8864779,121.2859135
大溪區普濟路132號,24.886683,121.2861108
大溪區福仁里24鄰和平路100號,24.8858688,121.2865555
大溪區仁善里介壽路238號,24.9194027,121.2919984
大溪區普濟路122號,24.8864199,121.2858788
大溪區美華里1鄰 復興路一段３１１巷１３號 ,24.8601724,121.2951214
大溪區福安里24鄰三層43號,24.8586216,121.2958106
大溪區光明里6鄰齋明街153號,24.8888576,121.2743105
大溪區康安里13鄰安和路1號,24.8571689,121.2808925
大溪區永福里信義路649號,24.8944332,121.3083169
大溪區美華里七鄰美和路253號,24.8630487,121.3052026
大溪區康安里22鄰瑞安路2段48巷28號,24.8720551,121.2809723
大溪區一心里下田心子17號(郵寄地址:台北市安居街108巷6號4樓),24.881909,121.289004
大溪區美華里7鄰美和路316巷18號 ,24.8602643,121.3047695
大溪區福安里11鄰頭寮16號,24.839922,121.284528
大溪區埔仁路352號,24.9040818,121.2800049
大溪區美華里10鄰美山路2段1巷98弄51號,24.8708467,121.3046608
大溪區田心里民權東路31巷9弄16號,24.883582,121.2906787
大溪區瑞源里石園路760巷100號,24.8671952,121.2524129
大溪區中新里15鄰大鶯路1566-1號,24.9179483,121.3136847
大溪區美華里金山路169巷66號,24.8807938,121.3101554
大溪區美華里12鄰美山路1段693巷49號,24.8735761,121.3006
大溪區復興里3鄰復興路二段318號,24.8258362,121.3116887
大溪區一心里29鄰中華路203巷17號,24.8795071,121.2937532
大溪區月眉里15鄰月眉路1號,24.8895314,121.2878116
