縣市,緯度,經度
桃園市中壢區林森路75號,24.9460501,121.2260743
桃園市中壢區中山東路,24.9967108,121.3171874
桃園市中壢區中山東路,24.9967108,121.3171874
桃園市平鎮區環南路三段,24.9400425,121.2210093
桃園市平鎮區社尾路50號,24.931603,121.231826
桃園市楊梅區梅高路120巷,24.9244467,121.1465769
桃園市楊梅區自立街127號,24.9114451,121.1526074
桃園市楊梅區民富路一段56巷,24.9185457,121.1354309
桃園市楊梅區幼獅路三段85巷,24.9334306,121.1587355
桃園市楊梅區梅獅路2段249號,24.9058571,121.1774917
桃園市大園區圳頭國小,25.072458,121.205102
桃園市大園區三和路22巷,25.0744158,121.2587916
桃園市觀音區新坡里新生路76巷5弄2號,25.0145697,121.1359227
桃園市觀音區忠孝路60巷11號,25.0494012,121.1429558
桃園市觀音區中山路二段1259號,25.0057649,121.148327
桃園市觀音區新富路1302號,24.9796127,121.1365641
桃園市龜山區萬壽路1段381號,25.0017144,121.3504775
桃園市龍潭區工一路,24.8795094,121.208693
桃園市龍潭區中正路,24.8615517,121.2177988
桃園市龍潭區工一路,24.8795094,121.208693
桃園市蘆竹區坑口里6鄰,25.0908784,121.2669554
桃園市楊梅區員笨49-1號,24.1166888,120.6134033
桃園市楊梅區秀才路845巷口 (牛欄窩),24.664328,120.9220384
桃園市中壢區山佳二路(水月山莊),23.9649556,120.9474835
桃園市新屋區福興宮,24.939943,120.989646
桃園市新屋區許厝,24.943157,120.996719
桃園市新屋區蚵間雜貨店,24.9490591,121.0088771
桃園市新屋區王屋店附近,24.960431,121.012949
桃園市新屋區永安清境,24.9879434,121.014925
桃園市新屋區後庄養雞場附近,24.9503172,121.0154223
桃園市新屋區社子溪橋,24.9871499,121.0174308
桃園市新屋區觀農園附近,24.950247,121.01781
桃園市新屋區北湖商店,24.9882436,121.0185676
桃園市新屋區711便利商店(中山西路三段1150號),24.9882436,121.0185676
桃園市新屋區永安消防隊,24.9914053,121.0189856
桃園市新屋區太子宮,24.9750999,121.0252334
桃園市新屋區天后宮,24.9756596,121.0264281
桃園市新屋區士林紙廠附近,24.9818,121.026893
